model,repeat,fold,roc_auc,pr_auc,f1,balanced_accuracy,threshold
logreg_l1,2,1,0.8163934426229508,0.9683600783032851,0.957983193277311,0.8672131147540985,0.7383252382278442
logreg_l1,2,2,1.0,1.0,0.9661016949152542,0.9672131147540983,0.7247722148895264
logreg_l1,2,3,1.0,1.0,0.9747899159663865,0.9754098360655737,0.7376962304115295
logreg_l1,2,4,1.0,1.0,0.9752066115702479,0.9758064516129032,0.7116929292678833
logreg_l1,3,0,1.0,1.0,0.9747899159663865,0.9754098360655737,0.7471545934677124
logreg_l1,3,1,1.0,1.0,0.9482758620689655,0.9508196721311475,0.6733094453811646
logreg_l1,3,2,0.782258064516129,0.970731054292508,0.9838709677419355,0.8669354838709677,0.7053410410881042
logreg_l1,3,3,1.0,1.0,0.9298245614035088,0.9344262295081966,0.7101255655288696
logreg_l1,3,4,1.0,1.0,0.957983193277311,0.9596774193548387,0.7308716773986816
logreg_l1,4,0,1.0,1.0,0.957983193277311,0.9596774193548387,0.687825620174408
logreg_l1,4,1,1.0,1.0,0.9917355371900827,0.9918032786885246,0.7118678092956543
logreg_l1,4,2,0.7782258064516129,0.967574052244377,0.9672131147540983,0.8508064516129032,0.5848283767700195
logreg_l1,4,3,0.9967213114754099,0.9997355896351137,0.9482758620689655,0.9508196721311475,0.7353555560112
logreg_l1,4,4,1.0,1.0,0.9661016949152542,0.9672131147540983,0.6937134265899658
logreg_elasticnet,0,0,1.0,1.0,0.9026548672566371,0.9112903225806452,0.7677398324012756
logreg_elasticnet,0,1,1.0,1.0,0.9009009009009009,0.9098360655737705,0.8079259395599365
logreg_elasticnet,0,2,0.9959677419354839,0.9997439836149513,0.9217391304347826,0.9274193548387097,0.7660729885101318
logreg_elasticnet,0,3,0.9934426229508198,0.9994668446740818,0.8380952380952381,0.860655737704918,0.7881085872650146
logreg_elasticnet,0,4,0.8262295081967214,0.9691241863300901,0.8727272727272727,0.7934426229508197,0.7829712629318237
logreg_elasticnet,1,0,1.0,1.0,0.9026548672566371,0.9112903225806452,0.7887859344482422
logreg_elasticnet,1,1,0.7782258064516129,0.967574052244377,0.9137931034482759,0.8024193548387097,0.7219101786613464
logreg_elasticnet,1,2,1.0,1.0,0.9298245614035088,0.9344262295081966,0.7529321908950806
logreg_elasticnet,1,3,1.0,1.0,0.8490566037735849,0.8688524590163935,0.7909843921661377
logreg_elasticnet,1,4,0.9901639344262295,0.9992315573770492,0.9203539823008849,0.9262295081967213,0.7350906729698181
logreg_elasticnet,2,0,1.0,1.0,0.8727272727272727,0.8870967741935484,0.7403870820999146
logreg_elasticnet,2,1,0.8131147540983606,0.9681196936879004,0.8623853211009175,0.7852459016393443,0.786099374294281
logreg_elasticnet,2,2,1.0,1.0,0.9107142857142857,0.9180327868852459,0.7525296211242676
logreg_elasticnet,2,3,1.0,1.0,0.8909090909090909,0.9016393442622951,0.7926866412162781
logreg_elasticnet,2,4,1.0,1.0,0.9401709401709402,0.9435483870967742,0.7816909551620483
logreg_elasticnet,3,0,1.0,1.0,0.9203539823008849,0.9262295081967213,0.7983440160751343
logreg_elasticnet,3,1,0.9967213114754099,0.9997355896351137,0.9203539823008849,0.9262295081967213,0.7497300505638123
logreg_elasticnet,3,2,0.782258064516129,0.970731054292508,0.8849557522123894,0.7782258064516129,0.7445623278617859
logreg_elasticnet,3,3,1.0,1.0,0.8909090909090909,0.9016393442622951,0.7704775333404541
logreg_elasticnet,3,4,1.0,1.0,0.8727272727272727,0.8870967741935484,0.7885866761207581
logreg_elasticnet,4,0,1.0,1.0,0.9026548672566371,0.9112903225806452,0.778251051902771
logreg_elasticnet,4,1,1.0,1.0,0.9203539823008849,0.9262295081967213,0.7650706768035889
logreg_elasticnet,4,2,0.7701612903225806,0.9632537757466811,0.8849557522123894,0.7782258064516129,0.7098559737205505
logreg_elasticnet,4,3,0.9967213114754099,0.9997355896351137,0.8909090909090909,0.9016393442622951,0.7736092805862427
logreg_elasticnet,4,4,1.0,1.0,0.9107142857142857,0.9180327868852459,0.758843719959259
random_forest,0,0,0.9879032258064516,0.9992555831265508,0.9836065573770492,0.9838709677419355,0.694
random_forest,0,1,1.0,1.0,0.9917355371900827,0.9918032786885246,0.684
random_forest,0,2,0.9435483870967742,0.996354881836325,0.959349593495935,0.7258064516129032,0.67
random_forest,0,3,0.9967213114754099,0.9997355896351137,0.9747899159663865,0.9754098360655737,0.666
random_forest,0,4,0.8180327868852459,0.9639521059474196,0.9836065573770492,0.8918032786885246,0.654
random_forest,1,0,1.0,1.0,0.991869918699187,0.9919354838709677,0.678
random_forest,1,1,0.7641129032258065,0.9611544382704715,0.9672131147540983,0.8508064516129032,0.654
random_forest,1,2,0.9901639344262295,0.9991936206303659,0.991869918699187,0.9,0.644
random_forest,1,3,0.9967213114754099,0.9997355896351137,0.9833333333333333,0.9836065573770492,0.638
random_forest,1,4,0.9639344262295082,0.9971047266252995,0.975609756097561,0.7918032786885245,0.628
